ID,Name,Level,X,Y,Type,Url,Desc
1,Palm Jebel Ali,,54.989147,25.00395,image,dubai-palm-jebel-ali.jpg,"The Palm Jebel Ali is an artificial archipelago in Dubai, United Arab Emirates which began construction in October 2002, was originally planned to be completed by mid-2008 and has been on hold since.The project, which is 50 percent larger than the Palm Jumeirah, is proposed to include six marinas, a water theme park, 'Sea Village', homes built on stilts above the water, and boardwalks that circle the ""fronds"" of the ""palm"" and spell out an Arabic poem by Sheikh Mohammed bin Rashid Al Maktoum."
2,Palm Jumeirah,,55.138063,25.119487,image,dubai-palm-jumeirah.jpg,"The Palm Jumeirah is an artificial archipelago created using land reclamation by Nakheel, a company owned by the Dubai government in United Arab Emirates and was designed and developed by HHCP architects. It is one of three planned islands called the Palm Islands (Palm Jumeirah, Palm Jebel Ali and Palm Deira) which would have extended into the Persian Gulf, increasing Dubai's shoreline by a total of 520 kilometres (320 mi)."
3,Burj Khalifa,,55.274166,25.197031,image,dubai-burj-khalifa.jpg,"Burj Khalifa (""Khalifa Tower""), known as Burj Dubai prior to its inauguration, is a skyscraper in Dubai, United Arab Emirates, and is the tallest man-made structure in the world, at 829.8 m (2,722 ft). Construction began on 21 September 2004, with the exterior of the structure completed on 1 October 2009. The building officially opened on 4 January 2010, and is part of the new 2 km2 (490-acre) development called Downtown Dubai at the 'First Interchange' along Sheikh Zayed Road, near Dubai's main business district."
5,Dubai Mall,,55.279625,25.197287,image,dubai-mall.jpg,"The Dubai Mall is the world's largest shopping mall based on total area and thirteenth largest by gross leasable area. Located in Dubai, United Arab Emirates (U.A.E), it is part of the 20-billion-dollar Downtown Dubai complex, and includes 1,200 shops. Access to the mall is provided via Doha Street, rebuilt as a double-decker road in April 2009."
4,The World,,55.164328,25.225519,image,dubai-world.jpg,"The World or World Islands is an artificial archipelago synecdoche of various small islands constructed in the rough shape of a world map, located 4.0 kilometres (2.5 mi) off the coast of Dubai, United Arab Emirates. The World islands are composed mainly of sand dredged from Dubai's shallow coastal waters, and are one of several artificial island developments in Dubai."
6,Ski Dubai,,55.198907,25.117573,image,dubai-ski.jpg,"Ski Dubai is an indoor ski resort with 22,500 square meters of indoor ski area. It is a part of the Mall of the Emirates, one of the largest shopping malls in the world, located in Dubai, United Arab Emirates. It was developed by Majid Al Futtaim Properties, which also operates the Mall of the Emirates."
7,Wild Wadi,,55.189208,25.139545,image,dubai-wild-wadi.jpg,"The Wild Wadi Water Park is an outdoor water park in Dubai, United Arab Emirates. Situated in the area of Jumeirah, next to the Burj Al Arab and the Jumeirah Beach Hotel, the water park is operated by Jumeirah International, a Dubai-based hotelier. Wild Wadi has a heated/cooled wave pool, multiple water slides and two artificial surfing machines. In addition, the park had the largest water slide outside of North America, but recently it was removed to make space for two other rides ."
9,Burj Al Arab,,55.185324,25.141235,image,dubai-burj-al-arab.jpg,"Burj Al Arab (Tower of the Arabs) is a luxury hotel located in Dubai, United Arab Emirates. At 321 m (1,053 ft), it is the fourth tallest hotel in the world; however, 39% of its total height is made up of non-occupiable space. Burj Al Arab stands on an artificial island 280 m (920 ft) from Jumeirah beach and is connected to the mainland by a private curving bridge. The shape of the structure is designed to mimic the sail of a ship. Sometimes referred to as ""the world's only 7-Star hotel"", its star rating is disputed."
8,Dubai Autodrome,,55.238078,25.050399,image,dubai-autodrome.jpg,"The Dubai Autodrome is an FIA sanctioned 5.39 km motorsports circuit located in Dubailand, Dubai, United Arab Emirates. Opened in October 2004 with the final round of the LG Super Racing Weekend featuring the final rounds of the FIA GT Championship, European Touring Car Championship and 2004 Formula Renault V6 Eurocup season, Dubai Autodrome was the first part of the Dubai Motor City development that was available for use. The venue hosted the December 2005 A1 Grand Prix and the FIA GT Championship from 2004 to 2006. "
10,Dubai Sports City,,55.216019,25.041127,image,dubai-sports-city.jpg,"The Dubai Sports City (DSC) is a $4 billion, 50,000,000 square feet (4,600,000 m2) mixed-use sports city currently being constructed in Dubai, United Arab Emirates. The city will consist of apartment buildings as well as several sports facilities. The first structures opened in late 2007."
